Sample	Screening_Percent_Discarded	Deduper_Percent_Discarded	Deduper_Percent_Duplicates	Sickle_Percent_Pairs_Kept	Sickle_Percent_Pairs_Split	Sickle_R1_BP_Left_Removed_Scaled	Sickle_R1_BP_Right_Removed_Scaled	Sickle_R2_BP_Left_Removed_Scaled	Sickle_R2_BP_Right_Removed_Scaled	Innie_Combined_Percent	Percent_Combined	Short_Percent_PE_Kept	Short_Percent_SE_Kept	R1_Ave_Len	R2_Ave_Len	PE_Percent_Kept	SE_Percent_Kept
SampleC07	0.069072027	0.13346411	93.97	78.45350936	21.43773617	0.038386859	3.412880796	0.391289677	1.798135359	89.55	17.6	88.9379923	94.80381174	99.09	96.76	3.460404241	2.010924985
SampleC08	0.06634462	0.071688174	79.49	88.22230729	11.71594385	0.024399663	2.138040743	0.184303418	1.172976265	90.14	13.96	93.93345903	95.17092496	99.48	98.03	14.60216598	4.684021054
SampleC09	0.045805541	0.087715991	78.69	92.90517205	7.059808447	0.017160414	1.436825426	0.117078813	0.916201316	91.75	19.31	95.85473157	96.68664664	99.58	98.6	15.29202176	5.142808471
SampleC10	0.054608906	0.09267484	81.13	91.55513637	8.403446194	0.019503512	1.740104127	0.139423394	1.113280195	91.12	19.77	95.1154778	96.3926244	99.49	98.35	13.16232037	4.813963214
SampleC11	0.045762884	0.119679682	93.64	80.03597143	19.86365798	0.035880027	3.093821337	0.322630126	1.613533022	89.92	20.78	89.7505237	95.26563761	99.22	97.08	3.615877971	2.208889846
SampleC12	0.05310536	0.109749349	84.98	91.17324156	8.784971595	0.019101434	1.633159023	0.149169538	1.015445085	92.13	21.03	95.16372412	96.74808544	99.52	98.44	10.27337162	4.055922435
SampleD01	0.04589712	0.143790825	94.75	83.14820677	16.77283867	0.03180484	7.361779757	0.338485463	4.819819933	91.55	20.74	90.30857841	93.72258168	95.32	97.42	3.121494658	1.671861874
SampleD02	0.042183974	0.109848139	88.65	87.11408624	12.82703606	0.024075933	2.416966064	0.237565177	1.332618787	92.39	20.52	93.61370531	96.21253832	99.3	98.02	7.345096051	3.347766959
SampleD03	0.058991932	0.10792207	92.74	80.5958781	19.30420768	0.033395998	3.985746278	0.361522449	2.078164868	90.15	20.26	90.02331429	94.62771246	98.77	97.12	4.193122257	2.443441684
SampleD04	0.045460089	0.144241318	94.8	82.20041277	17.71095984	0.034247664	5.64769532	0.364703326	3.42816403	91	19.37	90.55613131	94.10568217	97.05	97.29	3.118004568	1.644294253
SampleD05	0.047594129	0.084513673	80.72	90.44389697	9.510786483	0.020468561	2.400151866	0.184018979	1.452684252	91.93	18.65	94.67606613	95.96633075	99.2	98.28	13.41418596	4.87367423
SampleD06	0.059680032	0.07870311	71	92.87305569	7.088576958	0.017570982	4.240825827	0.146731232	3.074724567	91.72	13.98	94.72927573	93.96093985	97.8	98.46	21.91717697	5.461633726
SampleD07	0.065154556	0.083876571	79.65	91.973578	7.987141029	0.017659646	1.533683734	0.123310318	0.940576435	92.68	22.19	95.40655274	96.90499223	99.56	98.48	13.87088482	5.589579901
SampleD08	0.051763852	0.110541577	85.79	90.19923104	9.751130424	0.020541279	1.763913656	0.158684257	1.033662956	93.14	24.69	94.47286402	96.88147576	99.49	98.31	9.101290951	4.399589786
SampleD09	0.055669669	0.073998222	78.63	89.17714542	10.76862512	0.023120949	2.143041102	0.177286759	1.27319126	90.99	16.01	94.15506791	95.67286746	99.43	98.02	15.0491403	5.113382921
SampleD10	0.063400233	0.145086516	94.88	81.36086725	18.54249475	0.036772595	2.933809687	0.324262139	1.586336515	90.82	22.36	90.38642041	95.40623895	99.25	97.29	2.915669778	1.789782811
SampleD11	0.089422539	0.071373807	76.23	90.58798582	9.363790935	0.020440094	2.083318485	0.159057119	1.218045624	90.26	13.85	94.77920227	95.26138775	99.41	98.22	17.55679564	4.954043219
SampleD12	0.087860832	0.094440952	81.66	91.4873803	8.469158899	0.019554624	1.731104055	0.141783085	1.084107043	91.78	19.91	95.16367667	96.51282979	99.49	98.43	12.7636732	4.715035294
SampleE01	0.048509559	0.147401243	94.81	82.80126416	17.12115908	0.031706122	2.760597211	0.321809835	1.633546361	90.31	22.7	91.09655469	95.79013121	99.22	97.41	3.020105116	1.782137445
SampleE02	0.033371363	0.106445302	90.31	87.45907477	12.48465541	0.022678214	1.888481628	0.19841989	1.078713759	90.52	20.04	93.95026415	96.25556328	99.51	98.15	6.355888943	2.79490305
